[2019-07-27 16:21:17] Downloading update (112,545 of 350,762 KB)...
[2019-07-27 16:21:17] Downloading update (113,682 of 350,762 KB)...
[2019-07-27 16:21:17] Downloading update (114,652 of 350,762 KB)...
[2019-07-27 16:21:18] Downloading update (116,341 of 350,762 KB)...
[2019-07-27 16:21:18] Downloading update (117,551 of 350,762 KB)...
[2019-07-27 16:21:18] Downloading update (118,497 of 350,762 KB)...
[2019-07-27 16:21:18] Downloading update (120,016 of 350,762 KB)...
[2019-07-27 16:21:19] Downloading update (121,271 of 350,762 KB)...
[2019-07-27 16:21:19] Downloading update (122,384 of 350,762 KB)...
[2019-07-27 16:21:19] Downloading update (123,632 of 350,762 KB)...
[2019-07-27 16:21:19] Downloading update (124,883 of 350,762 KB)...
[2019-07-27 16:21:20] Downloading update (126,148 of 350,762 KB)...
[2019-07-27 16:21:20] Downloading update (127,427 of 350,762 KB)...
[2019-07-27 16:21:20] Downloading update (128,579 of 350,762 KB)...
[2019-07-27 16:21:20] Downloading update (129,859 of 350,762 KB)...
[2019-07-27 16:21:21] Downloading update (131,140 of 350,762 KB)...
[2019-07-27 16:21:21] Downloading update (132,445 of 350,762 KB)...
[2019-07-27 16:21:21] Downloading update (133,762 of 350,762 KB)...
[2019-07-27 16:21:21] Downloading update (135,084 of 350,762 KB)...
[2019-07-27 16:21:22] Downloading update (136,406 of 350,762 KB)...
[2019-07-27 16:21:22] Downloading update (137,728 of 350,762 KB)...
[2019-07-27 16:21:22] Downloading update (139,060 of 350,762 KB)...
[2019-07-27 16:21:22] Downloading update (140,266 of 350,762 KB)...
[2019-07-27 16:21:23] Downloading update (141,626 of 350,762 KB)...
[2019-07-27 16:21:23] Downloading update (142,990 of 350,762 KB)...
[2019-07-27 16:21:23] Downloading update (144,354 of 350,762 KB)...
[2019-07-27 16:21:23] Downloading update (145,648 of 350,762 KB)...
[2019-07-27 16:21:24] Downloading update (146,803 of 350,762 KB)...
[2019-07-27 16:21:24] Downloading update (148,026 of 350,762 KB)...
[2019-07-27 16:21:24] Downloading update (149,292 of 350,762 KB)...
[2019-07-27 16:21:24] Downloading update (150,571 of 350,762 KB)...
[2019-07-27 16:21:25] Downloading update (151,851 of 350,762 KB)...
[2019-07-27 16:21:25] Downloading update (153,131 of 350,762 KB)...
[2019-07-27 16:21:25] Downloading update (154,270 of 350,762 KB)...
[2019-07-27 16:21:25] Downloading update (155,823 of 350,762 KB)...
[2019-07-27 16:21:26] Downloading update (157,126 of 350,762 KB)...
[2019-07-27 16:21:26] Downloading update (158,383 of 350,762 KB)...
[2019-07-27 16:21:26] Downloading update (159,633 of 350,762 KB)...
[2019-07-27 16:21:26] Downloading update (160,969 of 350,762 KB)...
[2019-07-27 16:21:27] Downloading update (162,305 of 350,762 KB)...
[2019-07-27 16:21:27] Downloading update (163,589 of 350,762 KB)...
[2019-07-27 16:21:27] Downloading update (164,658 of 350,762 KB)...
[2019-07-27 16:21:27] Downloading update (165,867 of 350,762 KB)...
[2019-07-27 16:21:28] Downloading update (167,077 of 350,762 KB)...
[2019-07-27 16:21:28] Downloading update (168,286 of 350,762 KB)...
[2019-07-27 16:21:28] Downloading update (169,480 of 350,762 KB)...
[2019-07-27 16:21:29] Downloading update (170,935 of 350,762 KB)...
[2019-07-27 16:21:29] Downloading update (172,158 of 350,762 KB)...
[2019-07-27 16:21:29] Downloading update (173,393 of 350,762 KB)...
[2019-07-27 16:21:29] Downloading update (174,631 of 350,762 KB)...
[2019-07-27 16:21:30] Downloading update (175,750 of 350,762 KB)...
[2019-07-27 16:21:30] Downloading update (177,001 of 350,762 KB)...
[2019-07-27 16:21:30] Downloading update (178,167 of 350,762 KB)...
[2019-07-27 16:21:30] Downloading update (179,292 of 350,762 KB)...
[2019-07-27 16:21:31] Downloading update (180,304 of 350,762 KB)...
[2019-07-27 16:21:31] Downloading update (181,442 of 350,762 KB)...
[2019-07-27 16:21:31] Downloading update (182,560 of 350,762 KB)...
[2019-07-27 16:21:31] Downloading update (183,595 of 350,762 KB)...
[2019-07-27 16:21:32] Downloading update (184,636 of 350,762 KB)...
[2019-07-27 16:21:32] Downloading update (185,676 of 350,762 KB)...
[2019-07-27 16:21:32] Downloading update (186,734 of 350,762 KB)...
[2019-07-27 16:21:32] Downloading update (187,803 of 350,762 KB)...
[2019-07-27 16:21:33] Downloading update (188,871 of 350,762 KB)...
[2019-07-27 16:21:33] Downloading update (189,922 of 350,762 KB)...
[2019-07-27 16:21:33] Downloading update (190,992 of 350,762 KB)...
[2019-07-27 16:21:33] Downloading update (192,085 of 350,762 KB)...
[2019-07-27 16:21:34] Downloading update (193,083 of 350,762 KB)...
[2019-07-27 16:21:34] Downloading update (194,082 of 350,762 KB)...
[2019-07-27 16:21:34] Downloading update (195,080 of 350,762 KB)...
[2019-07-27 16:21:34] Downloading update (196,080 of 350,762 KB)...
[2019-07-27 16:21:35] Downloading update (196,991 of 350,762 KB)...
[2019-07-27 16:21:35] Downloading update (198,017 of 350,762 KB)...
[2019-07-27 16:21:35] Downloading update (199,043 of 350,762 KB)...
[2019-07-27 16:21:35] Downloading update (200,053 of 350,762 KB)...
[2019-07-27 16:21:36] Downloading update (201,198 of 350,762 KB)...
[2019-07-27 16:21:36] Downloading update (202,253 of 350,762 KB)...
[2019-07-27 16:21:36] Downloading update (203,303 of 350,762 KB)...
[2019-07-27 16:21:36] Downloading update (204,380 of 350,762 KB)...
[2019-07-27 16:21:37] Downloading update (205,464 of 350,762 KB)...
[2019-07-27 16:21:37] Downloading update (206,561 of 350,762 KB)...
[2019-07-27 16:21:37] Downloading update (207,658 of 350,762 KB)...
[2019-07-27 16:21:37] Downloading update (208,726 of 350,762 KB)...
[2019-07-27 16:21:38] Downloading update (209,851 of 350,762 KB)...
[2019-07-27 16:21:38] Downloading update (210,979 of 350,762 KB)...
[2019-07-27 16:21:38] Downloading update (212,118 of 350,762 KB)...
